idx,R,value,budget,agent_sum_distance,delivery_time,directed_transmission,jammer_on,clustering_on,minimize_distance,K,file
1,7.047286498801027,3.3728104068809492,5.244791884301815,9.492394757971457,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
2,8.00145869052021,3.254415642388211,5.7118841217099146,12.517612597218285,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
3,7.5653126765575,3.246647724145486,5.496026229662721,10.58274958031898,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
4,5.028367314412665,3.4370457082996473,4.318990826963166,3.424331163995804,15,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
5,8.074067995585018,3.280190474109385,5.7482047210103815,11.206433216371384,31,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
6,8.469282022568796,2.6965435087518395,5.94782408448681,16.96595482184666,39,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
7,7.905894441249481,3.265663046847161,5.66424838517197,10.190607175135872,32,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
8,5.851323981361338,3.487804138251348,4.686117795653771,5.890590400908531,16,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9,7.501045937660427,2.8743259559366345,5.464554191697998,13.680741674670712,31,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
10,8.620010283272517,2.964375536143584,6.024812695621135,14.208636869437527,38,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
11,7.420546357110058,3.3085201847174375,5.425254142997414,10.428612895232545,26,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
12,7.041212998954741,3.8787287445127037,5.2418794855681,5.37173988285374,19,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
13,7.398097892213109,3.4027774196167933,5.4143188279479855,8.056398909003477,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
14,5.085855505108766,3.2586121826576875,4.344178431126817,4.847517148936002,17,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
15,7.4655351643796415,2.860261271589117,5.447201126312006,14.301391195109128,30,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
16,6.99594580922806,3.0230593136657116,5.220196912631556,10.163558587456453,30,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
17,5.010988590410657,3.3479459002715903,4.311390145260042,3.9785315674758848,16,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
18,6.976023021314568,3.5121963185072547,5.210667604159252,8.90113863621062,19,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
19,7.657604164606131,3.374224663080126,5.541372735750092,8.581081662952,31,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
