idx,R,value,budget,agent_sum_distance,delivery_time,directed_transmission,jammer_on,clustering_on,minimize_distance,K,file
1,5.047286498801027,1.7430287949153502,2.613929160223003,5.365263535958999,17,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
2,4.813991557922606,1.6013322621533188,2.5259746037908895,5.600487802022149,18,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
3,5.064274342191515,1.806300880608563,2.620372708075125,4.252198583350329,19,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
4,6.359526084125635,1.5052045474374638,3.1272402964009944,9.806434395030713,31,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
5,6.506148385666322,1.915235638085031,3.186554781592631,6.2877521684875335,26,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
6,4.690867627781749,1.6078274825446572,2.4799577394175834,5.71824130443465,16,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
7,3.658029065896405,1.764782165799361,2.104880109087879,1.824832076366821,10,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8,6.469282022568796,1.926446274097437,3.1716038122490366,7.173647164429859,21,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
9,4.504954005712377,1.8780412559681228,2.4110000386681767,2.9325098146473474,14,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
10,4.252191435279751,1.6298724627982542,2.3182632202723488,3.9989954277283872,16,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
11,5.024259690117492,1.7970662917943148,2.605203454759215,4.98718710132199,15,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
12,3.9275995138485538,1.69460655862806,2.200889897587767,2.375118683326412,16,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
13,5.566054358022413,2.116789432340374,2.813084793775977,3.8311341014160094,14,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
14,6.99610352929575,1.5968416524081785,3.3876187766351356,9.852002883392881,33,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
15,5.248206360398838,1.74965420864685,2.690477382668415,5.556589837539535,18,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
16,5.116891230521441,1.7856072967193397,2.6403640344118733,4.480110849882164,20,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
17,3.183948722682062,1.7585214597213652,1.939262802244221,0.9081217427842535,6,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
18,5.398097892213109,1.8453375600150834,2.7480662038422565,5.2428051966350395,19,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
19,3.327431988308968,1.5765491557115259,1.988953229065714,2.7123040562736347,10,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
20,4.356779571120694,1.711281871156325,2.3564938743426875,3.867327926682458,15,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
21,6.147179043757994,1.1062823787754903,3.042036027429285,11.896840467415647,41,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
22,4.10853333948796,1.7911166830385417,2.2660778922540854,2.425623526658609,12,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
23,4.597164053946381,1.420487277715953,2.4451227335369388,6.616631346872624,21,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
24,3.273638542166889,1.5628618117978317,1.9702795355993699,2.7108583728310123,9,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
25,3.97397084811233,1.7408954814589588,2.217539682696247,2.6525972724879607,12,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
26,5.492375162887731,1.6004375915891043,2.7844987698720676,7.329335160605621,22,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
27,5.702712351876473,2.0158754547495072,2.866368688826668,4.76386702200826,17,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
28,4.543395976289478,1.8456623423165321,2.4252067032807765,2.7622335320329947,15,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
29,6.846946992639689,1.8490146708886894,3.325943297987705,8.576714121049346,26,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
30,3.839984020046898,1.5121635025344684,2.1695388238816613,3.7659804676915036,17,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
