idx,R,value,budget,agent_sum_distance,delivery_time,directed_transmission,jammer_on,clustering_on,minimize_distance,K,file
1,6.047286498801027,2.3770363973219717,3.7576492093231075,3.7999999999999976,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
2,4.813820962704599,2.4157187535907525,3.2488762988903472,3.060718177746933,15,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
3,7.66919081916361,2.528130342223914,4.4720210174174895,6.448468954315242,27,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
4,4.766465036080541,2.1428265899190544,3.2299375118573304,3.5999999999999996,21,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
5,7.854683491379884,2.3995042910151554,4.557006738149912,7.0000000000000036,36,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
6,7.301951253574224,2.4432428962295827,4.3057546852953195,6.435903103950139,27,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7,6.528540470000668,2.0250719902615057,3.9642399492612608,6.600000000000003,30,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
8,6.346073307302126,1.9999347275275174,3.885376992286181,5.200000000000001,28,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
9,6.758520621788324,2.0907154094129208,4.064567616055177,6.400000000000001,27,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
10,6.934361844294814,2.472415137313507,4.141976668452977,6.7029538782244344,27,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
11,6.566054358022413,2.7699601571703134,3.980534445146939,3.1658724542616183,20,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
12,6.422732594622817,2.454404516256053,3.9184299324580216,4.552322261885279,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
13,5.150462408783983,2.208993818030061,3.3847740394491312,5.081377208004809,21,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
14,4.576011500077031,2.305563127814999,3.1542142968380724,2.1160291567252707,16,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
15,4.374347412170399,2.0821984799696898,3.0748086526558653,2.3909512303743967,18,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
16,5.658600644564995,1.9975404573425728,3.5941089074142853,5.199999999999999,23,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
17,7.707220809434345,2.205318983356236,4.489389969739786,4.600000000000002,36,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
18,7.857845360641429,2.060982847704988,4.558461231727348,11.552148786970466,30,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
19,6.241985774569597,2.039491298035327,3.840682245732912,5.461257679937447,33,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
20,4.273638542166889,1.575778154788983,3.035452708737492,3.6000000000000014,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
21,6.088880111803234,2.0334075283208555,3.775325161237028,4.804479325330975,28,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
22,7.310380655436841,2.46846790225177,4.309541429401532,5.51574078940932,33,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
23,7.332140311164103,2.2894367977058314,4.319322966252028,7.0707481957756,33,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
24,7.255591300398046,2.0368604490164577,4.284953270358784,9.851068745809116,32,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
25,4.154165557935398,2.350946659236243,2.9890217059794284,2.4,11,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
26,5.104748487620814,2.3865984244986325,3.3661896149136172,5.200000000000002,13,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
27,7.669927093197232,1.9376899917474288,4.472357017415404,7.3999999999999995,36,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
28,5.056113693297119,1.5174331740484588,3.3464627071844504,10.41037139594168,23,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
29,5.677014477519453,2.540959371007718,3.601789755228213,3.542092577252807,16,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
30,6.701385077992045,2.081990404364525,4.039545761779675,5.400000000000003,33,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
31,7.550931314897886,2.5452758645618276,4.418190964201524,6.600000000000005,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
32,4.522586543175532,1.4683869739590998,3.1331005112495793,6.000000000000001,24,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
33,7.019515925612346,1.8986128062744394,4.179681077478367,8.000000000000004,32,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
34,5.986368139776696,2.404610567926923,3.731822049776915,5.0475747348286735,21,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
35,7.924080945851283,2.5543598057963752,4.5889753465045136,6.000000000000003,31,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
36,7.080835664388907,2.3105009534856524,4.206920155423575,6.418879392430965,29,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
37,6.095693579498386,1.7912966855287507,3.7782238982660954,6.800000000000003,28,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
38,4.869952226713842,2.3746547211111158,3.271381474572867,3.21935613587627,16,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
39,5.7449276691976365,1.813148891751456,3.6301754088893268,8.533943739373537,24,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
40,6.880044476818868,2.317972840772511,4.11800032806432,4.965393373615454,27,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
41,7.217231523620786,2.3681173508931384,4.267773326706846,6.600000000000003,24,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
42,4.143694617748652,2.2769429537091757,2.984965697569434,3.0739282244778106,13,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
43,5.562893503590516,1.6584439487743927,3.554294202227766,7.200000000000006,27,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
44,6.327764570834767,2.278706622592631,3.877499909798306,6.200000000000001,24,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
45,4.947692668234402,2.096326501363723,3.3026525726066613,4.200000000000001,20,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
46,4.038846539872578,1.7558897164085674,2.9444703686959985,3.2,21,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
47,7.082739195932284,1.8153272745369984,4.207766909737019,7.000000000000003,37,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
48,4.21377094593332,1.9662956737009618,3.0121512911113024,2.6423564090996314,19,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
49,6.692751030007916,1.5722196551488081,4.03577014388102,9.000000000000002,35,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
