idx,sucess,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
1,True,7.047286498801027,2.2640512872552137,5.244791884301815,17.599999999999973,7.496690726059634,31,False,5,evaluation_states_K5_n10000.csv
2,True,8.00145869052021,1.9029238779640285,5.7118841217099146,22.399999999999956,4.499819190528041,40,False,5,evaluation_states_K5_n10000.csv
3,True,7.5653126765575,2.222900974401007,5.496026229662721,20.39999999999996,3.252150217945279,31,False,5,evaluation_states_K5_n10000.csv
4,True,5.028367314412665,1.9584102054349628,4.318990826963166,14.999999999999979,3.879377824970079,26,False,5,evaluation_states_K5_n10000.csv
5,True,8.074067995585018,2.5256215978313827,5.7482047210103815,17.599999999999977,3.1646576924890093,35,False,5,evaluation_states_K5_n10000.csv
6,True,8.469282022568796,1.4084756741860411,5.94782408448681,23.399999999999952,4.002832929837016,59,False,5,evaluation_states_K5_n10000.csv
7,True,7.905894441249481,2.2066496340078774,5.66424838517197,19.59999999999997,3.8334568708441643,37,False,5,evaluation_states_K5_n10000.csv
8,True,5.851323981361338,3.0627868135465195,4.686117795653771,8.800000000000004,4.401817988589367,19,False,5,evaluation_states_K5_n10000.csv
9,True,7.501045937660427,2.24087239107178,5.464554191697998,19.399999999999963,4.5318462327621,32,False,5,evaluation_states_K5_n10000.csv
10,True,8.620010283272517,1.7772463321025587,6.024812695621135,24.399999999999956,4.423309620211674,44,False,5,evaluation_states_K5_n10000.csv
11,True,7.420546357110058,2.174203376268496,5.425254142997414,19.599999999999966,4.607302303909865,33,False,5,evaluation_states_K5_n10000.csv
12,True,7.041212998954741,2.8490322838674835,5.2418794855681,13.999999999999986,4.396755703631208,24,False,5,evaluation_states_K5_n10000.csv
13,True,7.398097892213109,2.825987177115871,5.4143188279479855,12.59999999999999,4.410038558172502,31,False,5,evaluation_states_K5_n10000.csv
14,True,5.085855505108766,3.03410010687707,4.344178431126817,7.400000000000005,3.768914446536914,15,False,5,evaluation_states_K5_n10000.csv
15,True,7.4655351643796415,1.0472502427359127,5.447201126312006,26.59999999999994,3.1655626640380383,52,False,5,evaluation_states_K5_n10000.csv
16,True,6.9959458092280595,2.908928701904897,5.220196912631555,12.199999999999992,4.379514426102825,27,False,5,evaluation_states_K5_n10000.csv
17,True,5.010988590410657,2.452479801286197,4.311390145260042,11.999999999999993,2.8476134031630997,19,False,5,evaluation_states_K5_n10000.csv
18,True,6.9760230213145675,1.9066675872819288,5.210667604159252,17.19999999999997,4.379026532100562,41,False,5,evaluation_states_K5_n10000.csv
19,True,7.657604164606131,2.125435227466192,5.541372735750092,16.999999999999975,4.537545316630277,43,False,5,evaluation_states_K5_n10000.csv
20,True,6.543395976289478,2.546830517702138,5.005775915825609,13.999999999999982,4.213445165593044,27,False,5,evaluation_states_K5_n10000.csv
21,True,6.288338749655743,1.7684268408462338,4.886807797984441,19.79999999999996,3.974438706406756,33,False,5,evaluation_states_K5_n10000.csv
22,True,6.042898887294866,1.9074802315545696,4.773604918906429,15.39999999999998,2.2291971723837607,38,False,5,evaluation_states_K5_n10000.csv
23,True,6.692727977078564,1.715981946413858,5.076058797568432,17.599999999999973,3.9043183010794844,46,False,5,evaluation_states_K5_n10000.csv
24,True,8.85690267637022,0.9971574525789655,6.14676832132856,31.799999999999926,4.654107232908375,54,False,5,evaluation_states_K5_n10000.csv
25,True,5.080683752239406,1.7182661839343407,4.341909685924891,14.999999999999982,3.3366988846404606,36,False,5,evaluation_states_K5_n10000.csv
