idx,success,R,value,budget,agent_sum_distance,message_air_distance,delivery_time,directed_transmission,jammer_on,K,file
1,True,7.047286498801027,2.2025867726390773,4.47550106917087,17.623406318317368,None,20,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
2,True,8.00145869052021,2.087289364332711,4.856633678180388,20.96275403264469,None,22,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
3,True,7.5653126765575,2.4620211226501727,5.304940635945902,20.901591577165593,None,22,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
4,True,5.028367314412665,2.3397645355711094,3.802510618795911,11.493526986417018,None,12,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
5,True,8.074067995585018,1.4095168904597952,4.856633678180388,26.83170861451791,None,28,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
6,True,8.469282022568796,1.4257408613754832,5.663228894210333,32.53720064913448,None,40,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
7,True,7.905894441249481,1.610093337496525,5.004569993222299,26.152101569296804,None,28,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
8,True,5.851323981361338,2.5095918757395266,4.2989997841320635,13.719520712510379,None,16,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
9,True,7.501045937660427,2.030459102633061,5.304940635945902,24.506507009356564,None,26,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
10,True,8.620010283272517,1.2914704042153242,5.512288872741185,32.12559770639932,None,35,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
11,True,7.420546357110058,2.2338551477248414,5.263299821718493,22.475349371741245,None,24,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
12,True,7.041212998954741,2.6926124566210845,4.47550106917087,13.552682075577362,None,17,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
13,True,7.398097892213109,2.19377020458341,5.4574053040965556,24.157391076138925,None,25,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
14,True,5.085855505108766,1.776435247138975,3.802510618795911,16.494034613024546,None,19,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
15,True,7.4655351643796415,1.8495304013831104,5.304940635945902,26.0296777899317,None,28,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
16,True,6.9959458092280595,1.936430779548846,4.663841424616822,20.882096695240605,None,23,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
17,True,5.010988590410657,2.597750990852486,3.802510618795911,9.486273442943238,None,10,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
18,True,6.9760230213145675,2.51507024296584,4.663841424616822,16.133977713194515,None,17,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
19,True,7.657604164606131,2.439905440699417,5.154000614476755,20.056976302285623,None,21,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
20,True,6.543395976289478,2.5385540026566904,4.922571253113017,17.930111852076415,None,20,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
21,True,6.288338749655743,1.6298843461262138,4.047904970649745,19.636207185146365,None,23,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
22,True,6.042898887294866,2.6172630124610095,4.151471590710395,11.754390539925424,None,12,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
23,True,6.692727977078564,1.9708928330715036,4.772047639786145,21.335231245064215,None,23,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
24,True,8.85690267637022,1.1024793155518435,5.362858251486729,32.81495156866995,None,37,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
25,True,5.080683752239406,2.4366126919031155,3.802510618795911,10.713025169513347,None,11,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
26,True,6.020849753106418,2.1783173629632304,4.151471590710395,15.33136854368545,None,16,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
27,True,7.392113871995122,2.0383379767996503,5.4574053040965556,25.652987007270337,None,31,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
28,True,8.153680319373265,1.0080453748810725,4.856633678180388,30.678627545575807,None,36,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
