idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,file_idx,file
1,0,3.659936985447843,False,False,0.5609456580237313,-0.766931849769404,,True,14,evaluation_states_K1_n10000.csv
2,1,3.659936985447843,False,False,0.7544252494344341,-0.7190499277968836,,True,14,evaluation_states_K1_n10000.csv
3,2,3.659936985447843,False,False,0.9479048408451369,-0.6711680058243631,,True,14,evaluation_states_K1_n10000.csv
4,3,3.659936985447843,False,False,1.1413844322558397,-0.6232860838518427,,True,14,evaluation_states_K1_n10000.csv
5,4,3.659936985447843,False,False,1.3348640236665426,-0.5754041618793222,,True,14,evaluation_states_K1_n10000.csv
6,5,3.659936985447843,False,False,1.5283436150772456,-0.5275222399068018,,True,14,evaluation_states_K1_n10000.csv
7,6,3.659936985447843,False,False,1.7218232064879482,-0.4796403179342814,,True,14,evaluation_states_K1_n10000.csv
8,7,3.659936985447843,False,False,1.9153027978986512,-0.43175839596176097,,True,14,evaluation_states_K1_n10000.csv
9,8,3.659936985447843,False,False,2.1087823893093542,-0.3838764739892405,,True,14,evaluation_states_K1_n10000.csv
10,9,3.659936985447843,False,False,2.302261980720057,-0.33599455201672007,,True,14,evaluation_states_K1_n10000.csv
11,10,3.659936985447843,False,False,2.4957415721307594,-0.2881126300441997,,True,14,evaluation_states_K1_n10000.csv
12,11,3.659936985447843,False,False,2.6892211635414625,-0.24023070807167923,,True,14,evaluation_states_K1_n10000.csv
13,12,3.659936985447843,False,False,2.6892211635414625,-0.24023070807167926,,True,14,evaluation_states_K1_n10000.csv
