idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,jammer_x,jammer_y,file_idx,file
1,0,1.5072589934293386,False,True,1.1504356399695914,-0.7085367752992118,,False,-0.6652189000102359,0.0125285341104682,40,evaluation_states_K1_n10000.csv
2,1,1.5072589934293386,False,True,0.9801420701862367,-0.6036554133208235,,False,-0.5654047486883582,0.0186223995416467,40,evaluation_states_K1_n10000.csv
3,2,1.5072589934293386,False,True,0.8098485004028819,-0.4987740513424353,,False,-0.4655905973664806,0.0247162649728252,40,evaluation_states_K1_n10000.csv
4,3,1.5072589934293386,False,True,0.6395549306195272,-0.39389268936404703,,False,-0.365776446044603,0.0308101304040037,40,evaluation_states_K1_n10000.csv
5,4,1.5072589934293386,False,True,0.4692613608361724,-0.28901132738565877,,False,-0.2659622947227254,0.0369039958351822,40,evaluation_states_K1_n10000.csv
6,5,1.5072589934293386,False,True,0.2989677910528177,-0.1841299654072705,,False,-0.16614814340084783,0.0429978612663607,40,evaluation_states_K1_n10000.csv
7,6,1.5072589934293386,False,True,0.12867422126946296,-0.07924860342888228,,False,-0.06633399207897023,0.0490917266975392,40,evaluation_states_K1_n10000.csv
8,7,1.5072589934293386,False,True,0.0,0.0,,True,0.03348015924290737,0.0551855921287177,40,evaluation_states_K1_n10000.csv
9,8,1.5072589934293386,False,True,0.2,0.0,,True,0.13329431056478497,0.0612794575598962,40,evaluation_states_K1_n10000.csv
10,9,1.5072589934293386,False,True,0.4,0.0,,True,0.23310846188666257,0.06737332299107471,40,evaluation_states_K1_n10000.csv
11,10,1.5072589934293386,False,True,0.6000000000000001,0.0,,True,0.33292261320854016,0.07346718842225321,40,evaluation_states_K1_n10000.csv
12,11,1.5072589934293386,False,True,0.8,0.0,,True,0.43273676453041776,0.0795610538534317,40,evaluation_states_K1_n10000.csv
13,12,1.5072589934293386,False,True,1.0,0.0,,True,0.5325509158522954,0.0856549192846102,40,evaluation_states_K1_n10000.csv
14,13,1.5072589934293386,False,True,1.2,0.0,,True,0.632365067174173,0.0917487847157887,40,evaluation_states_K1_n10000.csv
