idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,jammer_x,jammer_y,file_idx,file
1,0,9.81823055623084,False,True,-0.4417370613296469,-1.5335713137173423,,False,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,2.975115738116242,-0.3321589702999838,1804,evaluation_states_K7_n10000.csv
2,1,9.81823055623084,False,True,-0.3863788949743157,-1.3413852751563287,,False,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.003283592671383,-0.4281098534108778,1804,evaluation_states_K7_n10000.csv
3,2,9.81823055623084,False,True,-0.3310207286189845,-1.1491992365953148,,False,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.0314514472265235,-0.5240607365217718,1804,evaluation_states_K7_n10000.csv
4,3,9.81823055623084,False,True,-0.2756625622636533,-0.957013198034301,,False,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.059619301781664,-0.6200116196326657,1804,evaluation_states_K7_n10000.csv
5,4,9.81823055623084,False,True,-0.22030439590832213,-0.7648271594732872,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.087787156336805,-0.7159625027435597,1804,evaluation_states_K7_n10000.csv
6,5,9.81823055623084,False,True,-0.020500486100701903,-0.7559729161070607,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.1159550108919456,-0.8119133858544536,1804,evaluation_states_K7_n10000.csv
7,6,9.81823055623084,False,True,0.17930342370691832,-0.7471186727408343,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.1441228654470863,-0.9078642689653476,1804,evaluation_states_K7_n10000.csv
8,7,9.81823055623084,False,True,0.3791073335145385,-0.7382644293746079,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.172290720002227,-1.0038151520762415,1804,evaluation_states_K7_n10000.csv
9,8,9.81823055623084,False,True,0.5789112433221587,-0.7294101860083815,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.2004585745573677,-1.0997660351871354,1804,evaluation_states_K7_n10000.csv
10,9,9.81823055623084,False,True,0.7787151531297789,-0.7205559426421551,,True,4.093503272142509,-2.322658270992916,,False,5.369820300266002,-1.184860991266654,,False,5.77342347671939,-1.3225213952884582,,False,7.803956536755892,-3.2758359605951126,,False,8.946665506571517,-1.8378566250499235,,False,9.066842673381824,3.881565300521325,,False,3.2286264291125084,-1.1957169182980294,1804,evaluation_states_K7_n10000.csv
