idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,file_idx,file
1,0,8.99154491235937,False,False,8.230756550077478,1.9455480957586666,,False,3.790371713474745,-3.3474613849075565,,False,-0.2656721903808439,1.2711738849498238,,False,0.21620214662348225,-1.5839659154069095,,False,7.9216663425982015,-2.9973354275724997,,False,2.7255726458709555,3.4357001423871414,,False,9.806201627306972,0.2387852715728433,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
2,1,8.99154491235937,False,False,8.089447662161747,1.8040143605715409,,False,3.931799198284087,-3.2060461575078762,,False,-0.12476600593032905,1.1292392268017961,,False,0.3569561129711324,-1.4418803040403654,,False,7.7802448936377,-2.8559141640584422,,False,2.866927092840759,3.29421190852347,,False,9.663234511488701,0.3786437850591702,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
3,2,8.99154491235937,False,False,7.947816053246854,1.662803570062534,,False,4.073224735645772,-3.06462898251856,,False,0.015989397920271042,0.9871550394801435,,True,0.4968668080985865,-1.2989642538956998,,False,7.638823246586543,-2.7144930986355793,,False,3.008064721353582,3.1525073926540865,,False,9.511386422150007,0.5088058293124327,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
4,3,8.99154491235937,False,False,7.806431235658746,1.5213456846139752,,False,4.214628209781016,-2.923189746440012,,False,0.15741081316324057,0.8457337422485186,,True,0.6382881643358961,-1.1575428976583904,,False,7.497402589992819,-2.573071042758145,,False,3.144916523801792,3.006659580991806,,False,9.369945590267216,0.36740395140303655,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
5,4,8.99154491235937,False,False,7.665088751586866,1.3798455001745527,,False,4.356043846338223,-2.7817626707539187,,False,0.2988322831972021,0.7043124998079527,,True,0.7797095922229388,-1.0161216130708504,,False,7.3559820598427015,-2.431648860438469,,False,3.2767059511339354,2.8562217305569315,,False,9.228463904208851,0.22604295073424355,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
6,5,8.99154491235937,False,False,7.523881988515719,1.2382098759023772,,False,4.497463352290697,-2.640339464255981,,False,0.44025388810138844,0.5628913922379573,,True,0.9211314542238473,-0.8747007625989486,,False,7.214561327389867,-2.290226880419436,,False,3.398605552791226,2.697664210660227,,False,9.086899180491459,0.08476510746496704,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
7,6,8.99154491235937,False,False,7.383183543606942,1.0960692849360676,,False,4.63888408474989,-2.498917484243306,,False,0.5816758343964059,0.42147062606081764,,True,1.0625555837537903,-0.7332821797086582,,False,7.0731378468631405,-2.148807648503453,,False,3.502422347835594,2.5267195615286564,,False,8.945201565145114,-0.05637944894851729,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
8,7,8.99154491235937,False,False,7.244664537198137,0.9518039569340934,,False,4.780305230252273,-2.3574959172713834,,False,0.7230988680899342,0.2800509472996241,,True,1.2039950390240448,-0.591878924820895,,True,6.931696514449935,-2.007406271264131,,False,3.5773057172055376,2.3412674626141268,,False,8.80334747634451,-0.19736674444194258,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
9,8,8.99154491235937,False,False,7.106122181390588,0.8075610519186489,,False,4.921725490657674,-2.216073465210657,,False,0.9185490276305311,0.23763355540013076,,True,1.3661227471322044,-0.4747695474696538,,True,6.79268082027995,-1.863619495883232,,False,3.7185190550284686,2.1996383934902113,,False,8.660593282827229,-0.337442581877351,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
10,9,8.99154491235937,False,False,6.974723725309691,0.6567815913162292,,False,5.063145367515889,-2.074650629609728,,False,1.1185239678364358,0.23446759746534024,,True,1.5403840561591071,-0.3766217192907771,,True,6.654426357520653,-1.719100626779096,,False,3.8593253199216244,2.0576046095976515,,False,8.516995792595042,-0.4766537911926111,,False,520,n10000_evaluation_states_K1_to_10/evaluation_states_K7_n10000.csv
