idx,sucess,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
1,True,5.047286498801027,1.7868332698475258,2.613929160223003,3.0000000000000013,5.003174518172695,15,True,3,evaluation_states_K3_n10000.csv
2,True,4.813991557922606,1.8151394856940453,2.5259746037908895,3.4000000000000012,2.7522056692123793,17,True,3,evaluation_states_K3_n10000.csv
3,True,5.064274342191515,1.6943708635257946,2.620372708075125,3.7999999999999994,3.3436879958795878,13,True,3,evaluation_states_K3_n10000.csv
4,True,6.359526084125635,1.6408046665772502,3.1272402964009944,7.200000000000005,4.02918810085193,27,True,3,evaluation_states_K3_n10000.csv
5,True,6.506148385666322,-1.09699313810124,3.186554781592631,5.000000000000001,4.752235689811307,19,True,3,evaluation_states_K3_n10000.csv
6,True,4.690867627781749,1.7146648555828867,2.4799577394175834,3.4000000000000012,2.6109684606549477,17,True,3,evaluation_states_K3_n10000.csv
7,True,3.658029065896405,1.5183342348384783,2.104880109087879,1.8000000000000005,3.562387481216319,5,True,3,evaluation_states_K3_n10000.csv
8,True,6.469282022568796,2.133608568721789,3.1716038122490366,4.400000000000002,3.394274754575967,20,True,3,evaluation_states_K3_n10000.csv
9,True,4.504954005712377,1.7092846089782305,2.4110000386681767,2.800000000000001,2.5835586274911497,14,True,3,evaluation_states_K3_n10000.csv
10,True,4.252191435279751,1.566246049682276,2.3182632202723488,3.4000000000000012,3.545102617680681,11,True,3,evaluation_states_K3_n10000.csv
11,True,5.024259690117492,1.6050582103539888,2.605203454759215,4.800000000000002,3.3698839774443687,12,True,3,evaluation_states_K3_n10000.csv
12,True,3.9275995138485538,1.497440747811845,2.200889897587767,3.0000000000000018,2.909290427891552,15,True,3,evaluation_states_K3_n10000.csv
13,True,5.566054358022413,2.006987981995637,2.813084793775977,2.8000000000000007,4.533762385381203,11,True,3,evaluation_states_K3_n10000.csv
14,True,6.99610352929575,-1.120897305264446,3.3876187766351356,7.0000000000000036,3.919616934658647,28,True,3,evaluation_states_K3_n10000.csv
15,True,5.248206360398838,1.8525230754814255,2.690477382668415,3.6000000000000005,3.607959554975661,15,True,3,evaluation_states_K3_n10000.csv
16,True,5.116891230521441,1.829878250124258,2.6403640344118733,3.6000000000000014,2.563184908317937,17,True,3,evaluation_states_K3_n10000.csv
17,True,3.1839487226820626,1.6829531026704092,1.939262802244221,1.2,4.007968482823426,4,True,3,evaluation_states_K3_n10000.csv
18,True,5.398097892213109,1.8448351370995286,2.7480662038422565,3.8,3.9663861366611113,14,True,3,evaluation_states_K3_n10000.csv
19,True,3.3274319883089682,1.6785630792338462,1.9889532290657144,1.8,2.8824715029424732,7,True,3,evaluation_states_K3_n10000.csv
20,True,4.356779571120694,1.7393103582459157,2.3564938743426875,2.8000000000000003,4.203265007422016,7,True,3,evaluation_states_K3_n10000.csv
21,True,6.147179043757994,1.3505839551229237,3.042036027429285,9.000000000000004,4.287967866019361,36,True,3,evaluation_states_K3_n10000.csv
22,True,4.10853333948796,1.8365584471353138,2.2660778922540854,2.2,4.418976925789222,7,True,3,evaluation_states_K3_n10000.csv
23,True,4.597164053946381,1.688701748857348,2.4451227335369388,4.2,3.7465259846970675,16,True,3,evaluation_states_K3_n10000.csv
24,True,3.273638542166889,1.4582322897367068,1.9702795355993699,1.7999999999999996,3.2555603211229114,12,True,3,evaluation_states_K3_n10000.csv
25,True,3.97397084811233,1.7522978629590051,2.217539682696247,2.5999999999999996,3.429064745922563,7,True,3,evaluation_states_K3_n10000.csv
26,True,5.492375162887731,1.7154888464555795,2.7844987698720676,4.8000000000000025,3.7158494994490847,20,True,3,evaluation_states_K3_n10000.csv
27,True,5.702712351876473,2.0280185738923264,2.866368688826668,3.6000000000000005,5.070691153127546,14,True,3,evaluation_states_K3_n10000.csv
28,True,4.543395976289478,1.839303639710831,2.4252067032807765,2.200000000000001,2.9218052794260765,11,True,3,evaluation_states_K3_n10000.csv
29,True,6.846946992639689,1.9396022461663134,3.325943297987705,6.0000000000000036,1.9657206885436054,30,True,3,evaluation_states_K3_n10000.csv
30,True,3.839984020046898,-1.2889301895611924,2.1695388238816613,2.8000000000000003,2.1425674036223272,14,True,3,evaluation_states_K3_n10000.csv
31,True,3.6315240113050526,1.7355502578594448,2.0955120167105648,1.7999999999999998,3.0556249559410933,6,True,3,evaluation_states_K3_n10000.csv
32,True,3.5263741989987607,1.5119443907630403,2.058474135684474,3.1999999999999993,4.030241776857718,9,True,3,evaluation_states_K3_n10000.csv
33,True,3.0082273722584794,1.6426269153182995,1.8789217991826312,1.2000000000000002,2.9391708106018353,3,True,3,evaluation_states_K3_n10000.csv
34,True,6.211543576174268,1.8110666246609446,3.0677750261829755,6.000000000000002,3.6241379994313743,21,True,3,evaluation_states_K3_n10000.csv
35,True,3.6599757117939506,1.742199730424073,2.1055686498225494,1.4,3.1446963567983137,5,True,3,evaluation_states_K3_n10000.csv
36,True,3.1022683958498525,-1.3978434857440174,1.9111441887476173,1.5999999999999996,3.1772093852988164,7,True,3,evaluation_states_K3_n10000.csv
37,True,5.154377813735036,1.7103280011668427,2.654637683192284,4.200000000000002,2.044142730405144,21,True,3,evaluation_states_K3_n10000.csv
38,True,5.747251890463984,1.8927186958561013,2.8838089116429524,6.000000000000003,4.81005701445965,16,True,3,evaluation_states_K3_n10000.csv
39,True,5.878426465953545,1.4477985451646491,2.9353837733167545,7.200000000000005,3.3659288890004717,30,True,3,evaluation_states_K3_n10000.csv
40,True,3.702435055131246,1.715766217513738,2.1206040593657463,0.7999999999999999,3.829450576252945,4,True,3,evaluation_states_K3_n10000.csv
41,True,4.534941911140297,1.4713762222631828,2.4220800849834268,3.8000000000000007,1.4458458895470945,19,True,3,evaluation_states_K3_n10000.csv
42,True,6.321695727872923,2.0583873615801314,3.112000368405772,4.000000000000003,2.5854616199645735,20,True,3,evaluation_states_K3_n10000.csv
43,True,3.140253768276754,-1.5985299676605054,1.924205519663756,1.8,3.2785702775261263,8,True,3,evaluation_states_K3_n10000.csv
44,True,5.0092011434518025,2.168969169713251,2.599502472151858,1.5999999999999996,4.413007303138396,6,True,3,evaluation_states_K3_n10000.csv
45,True,3.8755793497116744,1.6171000037277687,2.1822587801137017,2.3999999999999995,3.2083044933722675,7,True,3,evaluation_states_K3_n10000.csv
46,True,4.487008219242593,1.5821884920031675,2.4043772427073957,3.000000000000001,3.8087837561079456,13,True,3,evaluation_states_K3_n10000.csv
